application_id,sector,region,legal_structure,years_in_operation,num_employees,annual_revenue_ghs,total_assets_ghs,current_ratio,debt_to_equity,profit_margin_pct,account_age_months,avg_monthly_transactions,avg_account_balance_ghs,previous_loans,previous_loan_performance,owner_age,owner_education,credit_bureau_score,owner_has_other_businesses,loan_amount_requested_ghs,loan_to_revenue_ratio,loan_purpose,loan_term_months,collateral_type,collateral_coverage_pct,interest_rate_pct,application_date,loan_status
APP000011,Agriculture,Greater Accra,Sole Proprietorship,10,1,38490,37141,2.68,4.41,0.2,9,68,2790,0,No History,41,Primary,628,No,10000,0.26,Working Capital,24,Equipment,65.0,23.1,2025-10-04,Performing
APP000012,Retail,Northern,Limited Liability,1,13,399291,321229,1.48,2.94,-2.4,15,55,29180,1,Good,49,Tertiary,585,Yes,146740,0.37,Working Capital,36,Personal Guarantee,20.9,20.7,2025-01-08,Non-Performing
APP000013,Hospitality,Ashanti,Partnership,2,13,367663,301432,2.91,4.32,18.0,34,109,36050,2,Fair,58,Tertiary,697,Yes,54220,0.15,Inventory,18,Personal Guarantee,28.2,18.6,2025-10-05,Performing
APP000014,Trading,Ashanti,Partnership,8,7,18254,25615,0.42,2.28,5.2,39,78,1236,2,Good,43,Primary,626,No,69633,3.81,Equipment Purchase,12,Property,137.0,24.7,2025-09-29,Performing
APP000015,Trading,Western,Sole Proprietorship,5,5,66260,71407,0.8,2.09,13.7,45,109,10544,1,Good,36,Tertiary,626,Yes,53834,0.81,Equipment Purchase,36,Property,83.9,21.8,2025-05-22,Performing
APP000016,Trading,Volta,Sole Proprietorship,1,19,31056,32146,0.68,0.55,14.1,15,29,1402,1,Fair,29,Tertiary,408,No,49932,1.61,Debt Refinancing,48,Personal Guarantee,6.1,28.9,2025-01-03,Non-Performing
APP000017,Trading,Greater Accra,Sole Proprietorship,3,2,102760,125421,0.3,0.41,23.2,27,56,9677,0,No History,66,Tertiary,689,No,69012,0.67,Inventory,24,Property,64.3,26.5,2025-05-16,Performing
APP000018,Services,Ashanti,Sole Proprietorship,10,3,252925,368358,0.92,0.37,-6.5,16,20,26759,0,No History,52,Primary,605,No,70348,0.28,Equipment Purchase,24,Inventory,74.0,23.6,2025-11-02,Non-Performing
APP000019,Manufacturing,Western,Partnership,5,2,158200,110894,0.3,1.21,19.0,23,128,15192,1,Fair,46,Tertiary,684,Yes,211828,1.34,Equipment Purchase,24,Property,111.1,26.5,2025-06-09,Performing
APP000020,Trading,Eastern,Limited Liability,5,8,88220,119112,1.56,2.56,8.2,27,111,9039,0,No History,40,Tertiary,759,No,92795,1.05,Inventory,24,Equipment,149.8,31.0,2025-09-27,Performing
APP000021,Services,Western,Partnership,3,2,697216,784798,2.28,0.81,3.5,16,138,110515,1,Excellent,61,Secondary,689,No,194179,0.28,Working Capital,48,Property,137.3,19.4,2025-01-03,Performing
APP000022,Agriculture,Greater Accra,Sole Proprietorship,8,3,15000,10973,0.88,0.66,-5.8,28,119,2178,0,No History,40,Tertiary,624,No,270233,18.02,Expansion,36,Personal Guarantee,15.4,21.5,2024-12-05,Non-Performing
APP000023,Trading,Greater Accra,Cooperative,4,3,789816,685113,1.15,2.42,15.3,19,74,60826,3,Excellent,25,Secondary,595,No,11951,0.02,Working Capital,36,Vehicle,98.1,31.8,2024-11-16,Performing
APP000024,Trading,Ashanti,Limited Liability,7,5,93168,96347,2.29,0.67,-3.1,20,57,9892,0,No History,45,Secondary,834,Yes,214630,2.3,Working Capital,12,Property,73.3,21.0,2025-03-23,Performing
APP000025,Manufacturing,Central,Limited Liability,3,1,192650,235429,0.49,3.69,14.2,9,90,7713,0,No History,27,Tertiary,661,No,115047,0.6,Property Purchase,12,Property,97.7,26.6,2025-02-19,Performing
APP000026,Hospitality,Greater Accra,Partnership,15,8,73470,60123,0.3,0.59,31.1,15,59,6549,1,Excellent,45,Secondary,637,No,97578,1.33,Equipment Purchase,36,Inventory,113.5,28.7,2025-10-05,Performing
APP000027,Trading,Greater Accra,Sole Proprietorship,11,25,1140270,1233077,0.3,2.55,19.8,15,91,68034,2,Excellent,58,Secondary,604,No,161065,0.14,Working Capital,24,Property,113.6,23.9,2024-08-30,Performing
APP000028,Manufacturing,Upper East,Sole Proprietorship,5,8,48300,58742,0.54,1.66,24.7,62,59,6055,0,No History,25,Secondary,543,No,45945,0.95,Inventory,36,Property,110.2,26.8,2025-04-26,Performing
APP000029,Services,Greater Accra,Limited Liability,6,34,148556,149130,0.62,0.13,-0.6,13,102,9883,0,No History,31,Secondary,454,Yes,109380,0.74,Vehicle Purchase,12,Equipment,134.2,22.8,2025-02-03,Non-Performing
APP000030,Agriculture,Bono,Sole Proprietorship,3,28,214539,295360,1.64,0.72,17.2,20,45,27861,2,Excellent,52,Tertiary,749,No,20789,0.1,Working Capital,24,Property,105.9,31.3,2025-11-19,Performing
APP000031,Services,Western,Sole Proprietorship,7,16,21193,29299,0.34,2.65,-5.7,13,100,1644,0,No History,36,Tertiary,553,No,14587,0.69,Working Capital,24,Vehicle,102.6,22.2,2025-08-30,Performing
APP000032,Agriculture,Central,Partnership,0,7,37776,38668,0.3,0.36,5.2,19,38,5707,2,Good,46,Secondary,603,No,101893,2.7,Debt Refinancing,48,Personal Guarantee,9.2,20.2,2025-02-20,Non-Performing
APP000033,Agriculture,Greater Accra,Partnership,12,7,95369,140729,1.84,1.0,28.9,22,62,8912,1,Excellent,47,Tertiary,610,Yes,55856,0.59,Expansion,18,Property,76.2,27.6,2025-06-11,Performing
APP000034,Technology,Greater Accra,Partnership,7,15,78627,52524,0.65,0.37,0.7,12,33,11066,1,Good,52,Secondary,741,Yes,59700,0.76,Debt Refinancing,18,Property,60.1,26.8,2025-08-07,Performing
APP000035,Retail,Eastern,Sole Proprietorship,2,4,58104,35038,1.15,1.21,21.3,33,64,6704,0,No History,34,Secondary,554,Yes,26966,0.46,Expansion,18,Equipment,89.0,24.6,2024-08-08,Performing
APP000036,Hospitality,Central,Sole Proprietorship,12,1,90911,85692,1.71,1.79,20.2,12,33,14299,1,Good,25,Postgraduate,641,No,88537,0.97,Equipment Purchase,24,Property,117.0,24.1,2025-06-29,Performing
APP000037,Trading,Eastern,Partnership,14,12,390353,445387,4.0,1.48,20.9,8,54,50405,1,Good,46,Tertiary,663,No,39091,0.1,Working Capital,48,None,0.0,22.0,2024-09-14,Performing
APP000038,Agriculture,Greater Accra,Cooperative,6,2,75513,88069,1.35,1.57,-7.2,21,85,9614,0,No History,25,Secondary,502,Yes,57150,0.76,Equipment Purchase,36,Property,110.3,21.1,2024-10-11,Non-Performing
APP000039,Construction,Eastern,Limited Liability,3,2,712427,732945,0.59,1.47,14.3,51,57,51140,0,No History,53,Tertiary,494,No,36802,0.05,Inventory,36,Property,107.7,21.6,2025-03-07,Performing
APP000040,Manufacturing,Eastern,Limited Liability,5,7,63898,45520,1.81,1.12,6.1,6,52,6427,0,No History,41,Secondary,559,No,26847,0.42,Working Capital,12,Inventory,129.5,25.3,2025-12-11,Performing
APP000041,Agriculture,Western,Limited Liability,7,6,25362,19108,0.47,2.36,21.1,9,48,1897,0,No History,38,Tertiary,640,No,48678,1.92,Inventory,24,Inventory,81.0,23.2,2025-11-27,Performing
APP000042,Manufacturing,Eastern,Partnership,6,1,2135003,2918406,2.27,0.35,-11.9,31,41,90343,0,No History,50,Secondary,629,No,195944,0.09,Working Capital,36,Vehicle,121.1,18.0,2025-10-31,Performing
APP000043,Agriculture,Central,Sole Proprietorship,2,8,51729,71443,0.56,3.56,12.4,13,40,6480,0,No History,25,Tertiary,609,No,37310,0.72,Equipment Purchase,36,None,0.0,22.3,2024-07-19,Non-Performing
APP000044,Transport,Western,Partnership,7,19,33755,40725,0.4,1.52,10.7,23,97,2305,0,No History,39,Secondary,675,No,52753,1.56,Working Capital,60,Equipment,114.6,23.1,2025-10-04,Performing
APP000045,Trading,Greater Accra,Partnership,10,2,22133,26510,1.05,0.39,-15.9,35,118,1940,1,Fair,47,Tertiary,547,No,45930,2.08,Equipment Purchase,24,Equipment,90.5,26.0,2025-08-24,Non-Performing
APP000046,Services,Ashanti,Partnership,2,26,532194,605590,1.33,3.24,-2.6,30,69,39465,0,No History,45,Postgraduate,605,No,31662,0.06,Expansion,12,Equipment,79.7,25.2,2025-03-27,Performing
APP000047,Trading,Greater Accra,Partnership,2,1,118865,93027,0.41,1.15,-14.0,22,110,7602,0,No History,36,Secondary,610,Yes,204687,1.72,Expansion,48,Vehicle,110.6,31.0,2024-12-23,Non-Performing
APP000048,Services,Ashanti,Partnership,3,61,108032,106457,0.63,0.88,-0.7,23,142,5191,1,Poor,36,Primary,549,No,15341,0.14,Equipment Purchase,60,Vehicle,145.1,20.1,2025-08-13,Non-Performing
APP000049,Services,Ashanti,Sole Proprietorship,4,4,121006,148390,1.43,0.4,14.6,22,64,9746,0,No History,60,Tertiary,815,Yes,54974,0.45,Equipment Purchase,48,Inventory,66.9,26.2,2024-08-27,Performing
APP000050,Trading,Greater Accra,Partnership,8,8,603705,654130,1.18,0.8,10.3,24,54,30070,0,No History,52,Secondary,436,No,25757,0.04,Working Capital,36,Equipment,145.8,26.5,2025-06-17,Performing
APP000051,Retail,Greater Accra,Sole Proprietorship,9,1,124650,76874,1.38,2.44,10.0,40,55,13068,3,Good,34,Tertiary,725,No,105580,0.85,Inventory,18,Equipment,101.8,25.1,2025-06-28,Performing
APP000052,Hospitality,Greater Accra,Limited Liability,3,6,2304433,3360326,2.3,0.63,-4.5,11,86,97604,1,Good,58,Tertiary,688,No,68453,0.03,Inventory,12,Personal Guarantee,21.3,22.8,2025-04-25,Performing
APP000053,Technology,Central,Sole Proprietorship,6,9,267529,363928,1.27,2.47,21.4,10,188,40879,1,Good,51,Secondary,688,No,195298,0.73,Equipment Purchase,36,Vehicle,132.3,21.3,2025-10-18,Performing
APP000054,Transport,Volta,Sole Proprietorship,9,6,581951,485632,2.73,1.01,7.8,28,31,90770,1,Good,47,Tertiary,628,Yes,124810,0.21,Equipment Purchase,12,Vehicle,73.6,23.8,2024-12-26,Performing
APP000055,Services,Greater Accra,Sole Proprietorship,16,4,384972,444570,1.88,0.56,8.4,14,170,29472,2,Good,48,Secondary,733,No,64964,0.17,Expansion,60,Equipment,64.0,18.0,2025-03-16,Performing
APP000056,Technology,Upper East,Partnership,5,2,218105,312089,0.65,0.84,19.3,8,53,15534,2,Good,28,Postgraduate,581,No,126038,0.58,Expansion,24,Personal Guarantee,3.9,20.3,2025-08-14,Performing
APP000057,Agriculture,Ashanti,Sole Proprietorship,6,22,56328,38664,2.37,1.88,-3.9,44,62,2958,0,No History,60,Secondary,653,No,138103,2.45,Expansion,12,Property,90.7,20.1,2025-07-23,Performing
APP000058,Trading,Greater Accra,Sole Proprietorship,6,7,266643,280702,1.23,1.57,10.7,24,93,39620,1,Good,53,Tertiary,626,No,24040,0.09,Working Capital,18,Inventory,146.1,26.0,2025-04-30,Performing
APP000059,Agriculture,Greater Accra,Partnership,4,34,210121,212352,2.13,3.83,13.1,47,177,23202,1,Poor,44,Secondary,600,No,129719,0.62,Inventory,18,Personal Guarantee,1.3,26.5,2024-11-24,Non-Performing
APP000060,Trading,Ashanti,Sole Proprietorship,5,4,90057,87281,1.4,1.05,1.5,30,11,10195,2,Excellent,44,Tertiary,630,Yes,80600,0.89,Working Capital,36,Personal Guarantee,27.6,19.7,2024-12-06,Performing
APP000061,Trading,Eastern,Limited Liability,1,4,218582,295529,3.18,2.52,15.8,18,48,32241,0,No History,40,Primary,539,Yes,97681,0.45,Equipment Purchase,36,Equipment,110.5,18.8,2025-08-05,Non-Performing
APP000062,Trading,Western,Limited Liability,3,16,789185,743871,0.4,1.21,13.7,21,149,117820,0,No History,35,Secondary,563,No,39832,0.05,Working Capital,18,Inventory,69.2,18.1,2024-07-04,Performing
APP000063,Hospitality,Greater Accra,Partnership,7,1,1658490,1090120,0.87,0.68,6.8,34,21,231195,0,No History,48,Primary,754,No,25480,0.02,Debt Refinancing,24,Property,73.7,27.9,2025-06-18,Performing
APP000064,Trading,Greater Accra,Sole Proprietorship,2,2,499095,329030,1.58,0.47,6.4,8,39,66286,0,No History,32,Tertiary,850,No,21285,0.04,Expansion,12,Personal Guarantee,20.7,27.7,2024-11-12,Performing
APP000065,Trading,Ashanti,Limited Liability,8,22,1673824,1068686,1.14,1.06,14.3,35,70,243154,3,Good,43,Secondary,664,No,10000,0.01,Working Capital,12,Property,114.8,26.6,2025-06-29,Performing
APP000066,Services,Greater Accra,Sole Proprietorship,1,2,68829,66642,0.47,1.32,17.5,20,46,9988,1,Good,43,Secondary,690,No,29456,0.43,Debt Refinancing,24,Equipment,75.1,30.0,2024-10-09,Performing
APP000067,Agriculture,Greater Accra,Partnership,8,1,264496,329711,2.97,3.17,8.8,19,71,22280,0,No History,46,Postgraduate,641,Yes,500000,1.89,Inventory,36,None,0.0,31.1,2025-01-20,Performing
APP000068,Hospitality,Greater Accra,Sole Proprietorship,8,47,689487,540109,0.97,3.8,21.4,58,84,108116,1,Fair,53,Secondary,658,No,136272,0.2,Equipment Purchase,48,Personal Guarantee,27.1,20.0,2025-08-12,Performing
APP000069,Agriculture,Central,Limited Liability,16,1,38860,45925,1.99,3.79,15.9,40,67,4861,0,No History,46,Tertiary,666,No,82327,2.12,Vehicle Purchase,24,Equipment,72.0,22.4,2025-08-12,Performing
APP000070,Healthcare,Volta,Sole Proprietorship,4,8,104511,127334,1.49,0.75,-13.5,13,108,8823,2,Excellent,50,Secondary,708,Yes,156535,1.5,Working Capital,12,Property,106.0,27.1,2024-10-22,Performing
APP000071,Hospitality,Ashanti,Partnership,5,7,1113442,923802,1.77,0.62,-8.9,25,124,103601,0,No History,25,Secondary,750,No,46164,0.04,Working Capital,48,Equipment,107.5,18.0,2025-01-20,Performing
APP000072,Trading,Northern,Limited Liability,12,1,55558,63364,0.37,0.8,22.2,12,123,6803,0,No History,47,Secondary,544,Yes,40460,0.73,Inventory,24,Vehicle,138.3,23.0,2025-03-29,Non-Performing
APP000073,Agriculture,Greater Accra,Partnership,11,5,22787,27717,1.0,1.18,5.0,27,43,1898,1,Good,42,Tertiary,850,Yes,44791,1.97,Inventory,24,Personal Guarantee,0.7,27.9,2025-05-14,Performing
APP000074,Hospitality,Ashanti,Sole Proprietorship,9,11,865496,882764,1.8,0.27,10.0,52,122,120465,1,Good,46,Secondary,631,No,28681,0.03,Working Capital,48,Property,72.3,22.6,2025-08-05,Performing
APP000075,Construction,Greater Accra,Cooperative,6,10,821130,741517,1.99,0.58,21.7,44,176,47434,1,Good,35,Tertiary,631,No,31141,0.04,Inventory,24,Property,75.4,26.9,2024-07-13,Performing
APP000076,Construction,Western,Partnership,11,18,328031,379609,1.87,3.03,7.9,26,85,48847,1,Good,55,Postgraduate,584,Yes,58935,0.18,Inventory,18,Equipment,65.7,18.0,2024-09-01,Performing
APP000077,Hospitality,Upper West,Partnership,19,5,130957,193824,0.57,1.64,8.4,25,70,9971,0,No History,45,Secondary,585,Yes,63860,0.49,Debt Refinancing,24,Equipment,116.8,25.1,2024-09-24,Performing
APP000078,Agriculture,Western,Sole Proprietorship,7,15,67312,66245,0.3,0.86,-2.4,20,72,3926,2,Good,33,Secondary,672,Yes,225529,3.35,Working Capital,24,Personal Guarantee,6.9,22.2,2024-10-11,Non-Performing
APP000079,Trading,Ashanti,Partnership,5,3,251110,239197,0.33,0.3,12.4,54,35,35899,3,Fair,35,Secondary,674,Yes,166816,0.66,Expansion,48,Property,111.9,23.1,2024-07-17,Performing
APP000080,Agriculture,Western,Sole Proprietorship,8,1,758496,772027,1.03,1.61,15.0,32,91,52135,1,Good,52,Tertiary,668,No,13554,0.02,Working Capital,18,Vehicle,130.4,20.2,2025-11-10,Performing
APP000081,Transport,Greater Accra,Sole Proprietorship,5,2,216702,144886,1.11,1.38,1.1,17,54,30599,1,Fair,40,Secondary,581,Yes,44602,0.21,Equipment Purchase,24,Personal Guarantee,12.3,30.4,2024-09-26,Non-Performing
APP000082,Services,Northern,Sole Proprietorship,4,1,1972851,2165888,1.03,0.58,-3.1,22,181,149052,0,No History,41,Postgraduate,390,Yes,19818,0.01,Working Capital,48,Personal Guarantee,23.1,24.3,2024-08-09,Non-Performing
APP000083,Trading,Ashanti,Limited Liability,8,20,60948,54598,0.38,2.18,39.5,23,117,9267,3,Good,39,Tertiary,467,No,10000,0.16,Equipment Purchase,12,Property,130.0,24.6,2025-03-12,Performing
APP000084,Agriculture,Ashanti,Sole Proprietorship,3,1,111269,78920,0.66,0.89,6.9,13,96,7375,1,Excellent,54,Postgraduate,621,Yes,65332,0.59,Working Capital,18,Inventory,83.7,32.2,2025-11-21,Performing
APP000085,Trading,Ashanti,Sole Proprietorship,7,9,114420,116666,2.95,1.5,-0.2,23,84,5533,0,No History,47,Secondary,648,No,106640,0.93,Working Capital,18,Personal Guarantee,0.5,20.3,2025-12-03,Non-Performing
APP000086,Trading,Western,Partnership,1,5,48685,29359,1.34,3.77,16.5,28,21,7418,1,Good,27,Secondary,584,No,64300,1.32,Working Capital,36,Property,69.3,24.6,2025-07-01,Non-Performing
APP000087,Construction,Greater Accra,Limited Liability,13,6,162530,156289,0.98,2.1,7.4,12,121,9731,0,No History,30,Secondary,561,Yes,92679,0.57,Equipment Purchase,36,None,0.0,21.3,2024-10-05,Non-Performing
APP000088,Services,Western,Sole Proprietorship,3,28,241695,168017,2.91,0.41,-5.0,36,7,37050,3,Excellent,42,Tertiary,645,No,42841,0.18,Working Capital,18,Property,134.1,21.1,2024-07-03,Performing
APP000089,Transport,Greater Accra,Partnership,2,4,305307,189859,3.35,2.11,13.8,15,54,42400,0,No History,34,Tertiary,610,No,21423,0.07,Expansion,18,Property,96.5,25.2,2024-12-28,Performing
APP000090,Manufacturing,Western,Sole Proprietorship,10,13,2861644,3840405,0.72,0.77,-2.2,17,67,142598,0,No History,25,Tertiary,579,No,41480,0.01,Equipment Purchase,36,Personal Guarantee,25.2,22.9,2024-09-06,Non-Performing
APP000091,Agriculture,Central,Sole Proprietorship,12,7,198925,283393,1.34,1.89,26.9,14,76,18582,1,Good,33,Tertiary,482,No,235340,1.18,Working Capital,12,Personal Guarantee,16.4,31.9,2025-08-12,Performing
APP000092,Construction,Central,Sole Proprietorship,6,6,776448,610992,0.3,2.51,13.9,13,161,37896,1,Good,38,Secondary,548,No,87083,0.11,Working Capital,18,Property,77.8,31.1,2025-12-06,Non-Performing
APP000093,Construction,Ashanti,Limited Liability,5,73,211426,229475,0.3,1.5,4.7,39,130,16824,1,Fair,37,Secondary,699,No,13085,0.06,Inventory,36,Property,124.1,23.4,2024-08-15,Performing
APP000094,Services,Ashanti,Sole Proprietorship,4,1,1097237,932829,0.86,0.44,9.3,43,24,90171,0,No History,50,Tertiary,538,Yes,68191,0.06,Expansion,18,None,0.0,18.0,2025-01-31,Performing
APP000095,Hospitality,Greater Accra,Sole Proprietorship,6,26,2459872,2568646,0.36,0.18,18.8,15,46,275397,1,Excellent,25,Tertiary,676,Yes,214010,0.09,Working Capital,36,Equipment,110.2,22.8,2025-10-31,Performing
APP000096,Manufacturing,Eastern,Sole Proprietorship,5,14,400178,397364,0.67,2.87,10.2,37,140,62870,1,Good,32,Tertiary,737,No,128199,0.32,Vehicle Purchase,24,Property,91.7,28.2,2025-07-29,Performing
APP000097,Services,Greater Accra,Limited Liability,4,4,44509,37483,1.25,3.47,33.5,9,68,2687,1,Excellent,51,Secondary,552,No,216817,4.87,Expansion,24,Equipment,67.9,20.5,2025-10-13,Non-Performing
APP000098,Manufacturing,Ashanti,Sole Proprietorship,2,37,109512,134738,2.53,0.73,21.6,18,37,8705,2,Fair,33,Tertiary,582,Yes,13513,0.12,Working Capital,12,Personal Guarantee,3.1,30.4,2025-11-11,Performing
APP000099,Agriculture,Greater Accra,Sole Proprietorship,2,1,159794,114067,1.37,0.15,13.9,10,80,17649,3,Good,27,Tertiary,703,No,67899,0.42,Inventory,36,Personal Guarantee,5.7,26.3,2025-02-08,Performing
APP000100,Agriculture,Greater Accra,Sole Proprietorship,5,4,197032,127630,0.73,0.36,-3.2,57,87,11934,1,Good,33,Secondary,724,No,42265,0.21,Debt Refinancing,48,Property,120.6,19.3,2025-07-10,Performing
APP000101,Agriculture,Western,Sole Proprietorship,6,2,263401,340026,3.48,0.92,6.2,40,37,33000,1,Good,47,Secondary,565,Yes,108550,0.41,Expansion,36,Property,125.5,21.4,2025-07-19,Performing
APP000102,Services,Greater Accra,Partnership,3,11,254454,305176,1.09,2.49,13.7,8,95,22503,0,No History,38,Tertiary,482,No,25613,0.1,Debt Refinancing,18,Equipment,116.8,21.9,2025-06-06,Performing
APP000103,Trading,Eastern,Partnership,3,2,180537,189324,2.0,0.15,-1.9,13,26,27793,1,Excellent,33,Tertiary,726,No,25170,0.14,Working Capital,36,Personal Guarantee,10.1,20.8,2024-12-23,Performing
APP000104,Manufacturing,Greater Accra,Sole Proprietorship,6,11,98609,100680,2.12,3.12,23.5,18,137,11397,0,No History,47,Secondary,669,Yes,59690,0.61,Property Purchase,24,Vehicle,99.6,19.4,2025-09-23,Performing
APP000105,Transport,Greater Accra,Sole Proprietorship,2,6,263383,275938,0.98,2.88,-3.7,21,105,22010,2,Fair,46,Tertiary,654,No,23819,0.09,Working Capital,48,Equipment,123.9,21.7,2025-08-20,Performing
APP000106,Trading,Ashanti,Sole Proprietorship,9,4,1658285,1647210,0.3,3.08,0.4,10,111,209502,1,Good,26,Primary,697,Yes,77607,0.05,Expansion,24,Property,119.4,22.5,2025-02-26,Performing
APP000107,Manufacturing,Greater Accra,Sole Proprietorship,7,10,719476,686094,0.6,0.54,1.3,31,71,101194,0,No History,43,Tertiary,519,Yes,10000,0.01,Working Capital,18,Equipment,129.6,29.2,2025-02-13,Performing
APP000108,Construction,Greater Accra,Sole Proprietorship,3,5,371003,389449,0.63,2.64,16.9,37,127,50477,1,Good,26,Secondary,653,No,194024,0.52,Working Capital,12,Property,81.7,25.8,2024-07-06,Performing
APP000109,Trading,Western,Limited Liability,7,2,615869,662467,1.0,1.36,-1.7,25,85,44054,0,No History,56,Primary,595,No,10000,0.02,Debt Refinancing,18,Property,60.4,26.0,2025-09-29,Non-Performing
APP000110,Agriculture,Greater Accra,Cooperative,2,121,72987,89242,0.84,0.51,-13.6,25,128,6571,2,Good,56,Tertiary,671,No,147963,2.03,Working Capital,24,None,0.0,25.4,2024-12-01,Non-Performing
APP000111,Trading,Central,Cooperative,8,4,97284,120640,0.88,1.48,21.1,14,76,9170,0,No History,38,Secondary,687,No,33492,0.34,Debt Refinancing,18,Equipment,84.0,20.8,2025-03-12,Performing
APP000112,Agriculture,Greater Accra,Limited Liability,3,1,46443,43650,1.05,1.33,2.7,18,131,4022,2,Fair,54,Secondary,703,No,14051,0.3,Working Capital,12,Personal Guarantee,10.4,28.6,2025-02-08,Performing
APP000113,Technology,Greater Accra,Partnership,4,3,196050,190597,1.2,0.36,-4.8,24,51,15155,2,Excellent,32,Tertiary,670,Yes,70968,0.36,Inventory,24,Inventory,146.4,22.3,2025-07-02,Performing
APP000114,Hospitality,Eastern,Limited Liability,5,2,83372,78063,0.3,2.04,-1.1,25,46,10865,2,Good,40,Postgraduate,641,Yes,145163,1.74,Working Capital,18,None,0.0,22.7,2025-01-27,Performing
APP000115,Services,Greater Accra,Sole Proprietorship,12,16,624414,676166,1.18,1.28,28.6,21,82,25892,0,No History,34,Tertiary,644,Yes,190708,0.31,Expansion,24,Property,79.6,25.5,2024-10-06,Performing
APP000116,Transport,Greater Accra,Partnership,3,10,92006,92743,1.67,0.98,0.1,35,55,6921,1,Fair,41,Secondary,651,No,184570,2.01,Inventory,24,Property,134.4,34.0,2025-10-13,Performing
APP000117,Hospitality,Ashanti,Partnership,3,11,52797,73949,3.51,0.95,6.5,28,74,3009,0,No History,42,Secondary,566,Yes,25376,0.48,Expansion,36,Property,116.0,21.7,2024-10-08,Performing
APP000118,Trading,Greater Accra,Partnership,1,5,1842074,2259718,1.15,1.69,2.6,37,24,102147,0,No History,41,Secondary,588,No,73485,0.04,Working Capital,60,Vehicle,75.1,18.0,2024-07-16,Performing
APP000119,Transport,Central,Limited Liability,14,5,94688,133395,1.92,0.89,-6.8,23,96,6934,2,Excellent,40,Secondary,654,No,10116,0.11,Working Capital,18,Equipment,96.3,25.2,2024-10-14,Performing
APP000120,Services,Greater Accra,Sole Proprietorship,5,5,176111,218064,1.56,0.19,-0.9,23,125,23151,1,Good,43,Secondary,675,Yes,64815,0.37,Working Capital,48,Personal Guarantee,15.3,26.7,2025-03-03,Performing
APP000121,Hospitality,Eastern,Sole Proprietorship,9,6,237772,350450,0.54,0.49,-7.6,34,54,37171,1,Good,57,Secondary,564,No,83960,0.35,Inventory,18,Vehicle,91.0,22.3,2025-02-14,Performing
APP000122,Transport,Northern,Limited Liability,3,17,41604,48766,1.21,1.29,19.5,12,89,4233,1,Excellent,25,Tertiary,528,Yes,41145,0.99,Expansion,36,Inventory,80.4,21.6,2025-09-04,Performing
